Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-12 02:54:00,13.7850,84.0975
2025-09-12 02:55:00,13.7800,83.9025
2025-09-12 02:56:00,13.7775,83.9625
2025-09-12 02:57:00,13.7650,83.9450
2025-09-12 02:58:00,13.7750,83.9850
2025-09-12 02:59:00,13.7725,84.0500
2025-09-12 03:00:00,13.7725,83.9650
2025-09-12 03:01:00,13.7400,84.0175
2025-09-12 03:02:00,13.7425,84.0125
2025-09-12 03:03:00,13.7350,83.9675
2025-09-12 03:04:00,13.7375,84.0025
2025-09-12 03:05:00,13.7225,84.0125
2025-09-12 03:06:00,13.7375,83.9900
2025-09-12 03:07:00,13.7250,84.0025
2025-09-12 03:08:00,13.7375,84.0125
2025-09-12 03:09:00,13.7575,84.0050
2025-09-12 03:10:00,13.7400,83.9325
2025-09-12 03:11:00,13.7100,83.8800
2025-09-12 03:12:00,13.7375,84.0000
2025-09-12 03:13:00,13.7375,83.9400
2025-09-12 03:14:00,13.7375,84.0750
2025-09-12 03:15:00,13.7100,84.0850
2025-09-12 03:16:00,13.7175,84.0625
2025-09-12 03:17:00,13.7400,84.0675
2025-09-12 03:18:00,13.7475,84.1400
2025-09-12 03:19:00,13.7500,84.0675
2025-09-12 03:20:00,13.7500,84.0275
2025-09-12 03:21:00,13.7725,83.9925
2025-09-12 03:22:00,13.7475,84.0350
2025-09-12 03:23:00,13.7600,83.9900
2025-09-12 03:24:00,13.7475,84.0075
2025-09-12 03:25:00,13.7600,83.9450
2025-09-12 03:26:00,13.7575,83.8900
2025-09-12 03:27:00,13.7475,83.9450
2025-09-12 03:28:00,13.7625,84.0875
2025-09-12 03:29:00,13.7625,83.8825
2025-09-12 03:30:00,13.7500,83.9300
2025-09-12 03:31:00,13.7525,83.9050
2025-09-12 03:32:00,13.7525,83.9700
2025-09-12 03:33:00,13.7525,84.0000
2025-09-12 03:34:00,13.7750,83.9225
2025-09-12 03:35:00,13.7750,83.8450
2025-09-12 03:36:00,13.7725,83.7850
2025-09-12 03:37:00,13.7500,83.8625
2025-09-12 03:38:00,13.7675,83.8650
2025-09-12 03:39:00,13.7775,83.9500
2025-09-12 03:40:00,13.7775,83.8900
2025-09-12 03:41:00,13.7975,83.8725
2025-09-12 03:42:00,13.7675,84.0350
2025-09-12 03:43:00,13.7775,83.9000
2025-09-12 03:44:00,13.7675,83.8325
2025-09-12 03:45:00,13.7775,83.8850
2025-09-12 03:46:00,13.7750,83.9450
2025-09-12 03:47:00,13.7575,83.8675
2025-09-12 03:48:00,13.7750,83.9400
2025-09-12 03:49:00,13.7625,84.0250
2025-09-12 03:50:00,13.7775,83.9900
2025-09-12 03:51:00,13.7800,83.9675
2025-09-12 03:52:00,13.7625,83.9125
2025-09-12 03:53:00,13.7575,83.8675
2025-09-12 03:54:00,13.7800,83.8325
2025-09-12 03:55:00,13.7750,83.8250
2025-09-12 03:56:00,13.7550,83.8600
2025-09-12 03:57:00,13.7775,83.7375
2025-09-12 03:58:00,13.7625,83.8700
2025-09-12 03:59:00,13.7875,83.7750
2025-09-12 04:00:00,13.7600,83.8400
2025-09-12 04:01:00,13.7650,83.8100
2025-09-12 04:02:00,13.7425,83.6400
2025-09-12 04:03:00,13.7500,83.7225
2025-09-12 04:04:00,13.7425,83.7175
2025-09-12 04:05:00,13.7225,83.7550
2025-09-12 04:06:00,13.7475,83.7500
2025-09-12 04:07:00,13.7375,83.8275
2025-09-12 04:08:00,13.7625,83.7200
2025-09-12 04:09:00,13.7475,83.8000
2025-09-12 04:10:00,13.7600,83.7800
2025-09-12 04:11:00,13.7625,83.7700
2025-09-12 04:12:00,13.7625,83.7075
2025-09-12 04:13:00,13.7525,83.8025
2025-09-12 04:14:00,13.7750,83.7675
2025-09-12 04:15:00,13.7850,83.7525
2025-09-12 04:16:00,13.7775,83.6325
2025-09-12 04:17:00,13.7500,83.6525
2025-09-12 04:18:00,13.7425,83.7375
2025-09-12 04:19:00,13.7500,83.7650
2025-09-12 04:20:00,13.7650,83.4925
2025-09-12 04:21:00,13.7600,83.6525
2025-09-12 04:22:00,13.7375,83.6750
2025-09-12 04:23:00,13.7775,83.6025
2025-09-12 04:24:00,13.7475,83.7125
2025-09-12 04:25:00,13.7600,83.7050
2025-09-12 04:26:00,13.7750,83.7175
2025-09-12 04:27:00,13.7625,83.7100
2025-09-12 04:28:00,13.7575,83.6825
2025-09-12 04:29:00,13.7250,83.7175
2025-09-12 04:30:00,13.7400,83.6800
2025-09-12 04:31:00,13.7625,83.6875
2025-09-12 04:32:00,13.7625,83.6400
2025-09-12 04:33:00,13.7475,83.6075
2025-09-12 04:34:00,13.7425,83.6550
2025-09-12 04:35:00,13.7250,83.6600
2025-09-12 04:36:00,13.7225,83.7725
2025-09-12 04:37:00,13.7125,83.8550
2025-09-12 04:38:00,13.7425,83.7850
2025-09-12 04:39:00,13.7775,83.7925
2025-09-12 04:40:00,13.7400,83.7475
2025-09-12 04:41:00,13.7550,83.7400
2025-09-12 04:42:00,13.7625,83.6575
2025-09-12 04:43:00,13.7825,83.6325
2025-09-12 04:44:00,13.7750,83.4375
2025-09-12 04:45:00,13.7650,83.5575
2025-09-12 04:46:00,13.7800,83.6225
2025-09-12 04:47:00,13.7575,83.6275
2025-09-12 04:48:00,13.7625,83.5675
2025-09-12 04:49:00,13.7800,83.5675
2025-09-12 04:50:00,13.7550,83.5475
2025-09-12 04:51:00,13.7575,83.3575
2025-09-12 04:52:00,13.7575,83.6125
2025-09-12 04:53:00,13.7475,83.6300
2025-09-12 04:54:00,13.7625,83.7075
2025-09-12 04:55:00,13.7750,83.5350
2025-09-12 04:56:00,13.7600,83.5650
2025-09-12 04:57:00,13.7550,83.5125
2025-09-12 04:58:00,13.7675,83.6575
2025-09-12 04:59:00,13.7550,83.4675
2025-09-12 05:00:00,13.7650,83.5250
2025-09-12 05:01:00,13.7650,83.4925
2025-09-12 05:02:00,13.7625,83.4800
2025-09-12 05:03:00,13.7775,83.5025
2025-09-12 05:04:00,13.7425,83.4625
2025-09-12 05:05:00,13.7400,83.4800
2025-09-12 05:06:00,13.7150,83.4775
2025-09-12 05:07:00,13.7300,83.4950
2025-09-12 05:08:00,13.7375,83.4450
2025-09-12 05:09:00,13.7300,83.5025
2025-09-12 05:10:00,13.7400,83.5525
2025-09-12 05:11:00,13.7300,83.5125
2025-09-12 05:12:00,13.7150,83.5950
2025-09-12 05:13:00,13.7375,83.5700
