id	Experiment_Day	Temperature
MST60149	22.57917824074074	31
MST60149	22.586122685185185	31.5
MST60149	22.59306712962963	31.5
MST60149	22.600011574074074	31
MST60149	22.606956018518517	31
MST60149	22.613900462962963	31
MST60149	22.620844907407406	31
MST60149	22.627789351851852	31
MST60149	22.634733796296295	31.5
MST60149	22.64167824074074	31.5
MST60149	22.648622685185185	31
MST60149	22.65556712962963	31
MST60149	22.662511574074074	31
MST60149	22.669456018518517	31
MST60149	22.676400462962963	31
MST60149	22.683344907407406	31
MST60149	22.690289351851852	31
MST60149	22.697233796296295	30.5
MST60149	22.70417824074074	30.5
MST60149	22.711122685185185	31
MST60149	22.71806712962963	30.5
MST60149	22.725011574074074	30
MST60149	22.731956018518517	30.5
MST60149	22.738900462962963	30.5
MST60149	22.745844907407406	30.5
MST60149	22.752789351851852	31
MST60149	22.759733796296295	30.5
MST60149	22.76667824074074	31
MST60149	22.773622685185185	31
MST60149	22.78056712962963	31
MST60149	22.787511574074074	31
MST60149	22.794456018518517	31
MST60149	22.801400462962963	30.5
MST60149	22.808344907407406	30.5
MST60149	22.815289351851852	31
MST60149	22.822233796296295	31
MST60149	22.82917824074074	31
MST60149	22.836122685185185	31
MST60149	22.84306712962963	31
MST60149	22.850011574074074	31
MST60149	22.856956018518517	31
MST60149	22.863900462962963	31
MST60149	22.870844907407406	31
MST60149	22.877789351851852	31
MST60149	22.884733796296295	31
MST60149	22.89167824074074	31
MST60149	22.898622685185185	30.5
MST60149	22.90556712962963	31
MST60149	22.912511574074074	30.5
MST60149	22.919456018518517	30.5
MST60149	22.926400462962963	30
MST60149	22.933344907407406	29.5
MST60149	22.940289351851852	29.5
MST60149	22.947233796296295	29.5
MST60149	22.95417824074074	28.5
MST60149	22.961122685185185	28.5
MST60149	22.96806712962963	29
MST60149	22.975011574074074	29.5
MST60149	22.981956018518517	29.5
MST60149	22.988900462962963	30
MST60149	22.995844907407406	30.5
MST60149	23.002789351851852	30.5
MST60149	23.009733796296295	30.5
MST60149	23.01667824074074	31
MST60149	23.023622685185185	31.5
MST60149	23.03056712962963	31
MST60149	23.037511574074074	30.5
MST60149	23.044456018518517	30.5
MST60149	23.051400462962963	31
MST60149	23.058344907407406	30
MST60149	23.065289351851852	30.5
MST60149	23.072233796296295	30.5
MST60149	23.07917824074074	30.5
MST60149	23.086122685185185	30
MST60149	23.09306712962963	30.5
MST60149	23.100011574074074	31.5
MST60149	23.106956018518517	30.5
MST60149	23.113900462962963	30.5
MST60149	23.120844907407406	30.5
MST60149	23.127789351851852	31
MST60149	23.134733796296295	30.5
MST60149	23.14167824074074	30.5
MST60149	23.148622685185185	30.5
MST60149	23.15556712962963	30.5
MST60149	23.162511574074074	30.5
MST60149	23.169456018518517	30.5
MST60149	23.176400462962963	31
MST60149	23.183344907407406	31
MST60149	23.190289351851852	31
MST60149	23.197233796296295	30
MST60149	23.20417824074074	30
MST60149	23.211122685185185	30.5
MST60149	23.21806712962963	31
MST60149	23.225011574074074	32
MST60149	23.231956018518517	31
MST60149	23.238900462962963	31
MST60149	23.245844907407406	30.5
MST60149	23.252789351851852	31.5
MST60149	23.259733796296295	32.5
MST60149	23.26667824074074	30.5
MST60149	23.273622685185185	30.5
MST60149	23.28056712962963	31
MST60149	23.287511574074074	31.5
MST60149	23.294456018518517	31
MST60149	23.301400462962963	31
MST60149	23.308344907407406	31.5
MST60149	23.315289351851852	31.5
MST60149	23.322233796296295	31.5
MST60149	23.32917824074074	31
MST60149	23.336122685185185	31.5
MST60149	23.34306712962963	30.5
MST60149	23.350011574074074	30.5
MST60149	23.356956018518517	31
MST60149	23.363900462962963	31
MST60149	23.370844907407406	31.5
MST60149	23.377789351851852	31.5
